Date Reported,Holder,pctHeld,Shares,Value
2023-06-30,Vanguard Group Inc,0.0834,1303688506,252876459508
2023-06-30,Blackrock Inc.,0.0665,1039640859,201659137420
2023-06-30,"Berkshire Hathaway, Inc",0.0586,915560382,177591247296
2023-06-30,State Street Corporation,0.037,578897858,112288817516
2023-06-30,"FMR, LLC",0.0196,307066638,59561715772
2023-06-30,"Geode Capital Management, LLC",0.0186,291538165,56549657865
2023-06-30,Price (T.Rowe) Associates Inc,0.0145000005,226650943,43963483413
2023-06-30,Morgan Stanley,0.013099999,204714950,39708558851
2022-12-31,Norges Bank Investment Management,0.0107,167374278,21746939940
2023-06-30,Northern Trust Corporation,0.0105,164536073,31915062079
